language,# projects,file_mean,file_25%,file_50%,file_75%,code_mean,code_25%,code_50%,code_75%
JavaScript,702,205.4,8.0,33.0,113.0,30062.1,1098.5,5384.5,20475.8
JSON,605,116.6,3.0,6.0,16.0,157639.3,4665.0,10667.0,20935.0
Markdown,504,422.3,1.0,5.0,67.0,26521.9,90.5,474.5,6625.8
Python,450,147.3,11.0,31.0,104.8,18317.1,804.3,2892.5,11805.8
Java,390,1277.8,34.0,120.0,424.0,158663.1,2528.8,8423.0,37395.5
Go,317,1429.4,43.0,359.0,1829.0,450276.7,5288.0,53131.0,579665.0
Ruby,197,230.8,14.0,40.0,122.0,14308.4,581.0,1676.0,6863.0
PHP,139,770.6,19.0,57.0,204.5,68223.5,938.0,2843.0,19299.0
XML,125,212.0,5.0,13.0,49.0,130090.9,1023.0,4773.0,30356.0
C++,120,416.4,24.0,52.5,255.8,168204.5,3622.3,12623.5,89299.8
HTML,119,1477.3,4.0,19.0,104.5,355058.5,1338.5,6516.0,56464.0
YAML,118,196.0,7.0,18.0,108.5,70457.7,388.5,1474.0,7979.0
TypeScript,111,393.3,26.5,60.0,161.5,38892.7,1497.0,3468.0,12135.0
CSS,109,15.9,3.0,6.0,12.0,14129.1,3147.0,7397.0,11277.0
C,108,1161.9,9.0,74.0,284.0,580273.9,4995.3,28639.5,128496.3
C#,88,2226.5,65.0,226.0,1159.3,312412.0,4394.3,24615.0,118083.5
Scala,53,220.4,52.0,132.0,279.0,15400.2,4709.0,10349.0,21199.0
C/C++ Header,50,1866.7,52.8,411.5,1608.0,445007.8,16007.0,92222.0,476684.0
SVG,46,105.1,4.3,14.0,27.8,55153.4,4460.3,13273.0,46808.0
Julia,46,40.3,8.5,18.5,32.8,10058.3,1246.5,2507.0,5120.8
PO File,36,528.0,20.5,39.5,85.5,320021.7,10777.8,42699.0,133855.5
Swift,35,113.7,9.5,27.0,92.0,10366.0,597.0,1856.0,9445.5
reStructuredText,29,144.2,15.0,64.0,144.0,12013.7,1651.0,3467.0,7743.0
Bourne Shell,26,24.5,2.0,11.0,23.5,1141.5,162.5,396.5,1162.3
R,23,30.5,10.0,19.0,30.0,1670.4,406.0,641.0,887.0
Elixir,23,97.9,16.0,38.0,130.0,9090.9,893.5,1227.0,6353.0
Sass,19,40.2,7.5,17.0,57.5,2823.1,669.0,1246.0,3604.0
Groovy,18,562.8,20.0,65.0,204.0,54001.1,1398.0,4805.5,14349.0
Haskell,18,166.4,12.5,41.5,79.0,18120.3,1319.0,4214.0,10034.5
Rust,18,846.8,42.0,62.5,253.3,57741.4,5719.8,17849.0,41520.3
Kotlin,17,174.0,30.0,56.0,126.0,12239.1,1810.0,3892.0,12665.0
Dockerfile,15,5.3,1.0,1.0,4.5,93.5,13.5,24.0,71.5
diff,14,1258.4,6.3,25.0,273.0,88529.9,977.5,3299.5,36489.3
AsciiDoc,14,293.6,18.5,57.0,196.0,27213.1,1796.5,8368.5,25478.3
Perl,14,106.4,2.3,23.5,141.5,27963.2,1274.0,4138.0,13577.8
Bourne Again Shell,13,10.2,1.0,3.0,16.0,786.9,128.0,516.0,1510.0
JSX,13,137.1,43.0,54.0,99.0,12699.2,1666.0,6496.0,19663.0
Lisp,11,49.6,3.0,5.0,19.5,9353.4,642.0,1029.0,7606.0
